delta,delta_log2,frequency,density,cumulative_density
13,3.700439718141092,14091,0.000277122594662,0.9522047599084861
29/7,2.050626073069968,13926,0.0002738775994083,0.9524786375078944
7/29,-2.050626073069968,13825,0.0002718912689803,0.9527505287768747
7/33,-2.2370391973008497,13776,0.0002709276037232,0.9530214563805979
15/23,-0.6166713604484944,13753,0.0002704752710515,0.9532919316516494
23/15,0.6166713604484945,13713,0.0002696886055354,0.9535616202571848
3/31,-3.36923380966572,13661,0.0002686659403646,0.9538302861975494
5/34,-2.7655347463629774,13648,0.0002684102740719,0.9540986964716213
33/7,2.2370391973008497,13587,0.0002672106091599,0.9543659070807812
31/3,3.36923380966572,13533,0.0002661486107132,0.9546320556914943
34/5,2.7655347463629774,13381,0.0002631592817523,0.9548952149732466
10/29,-1.5360529002402097,13108,0.0002577902896054,0.955153005262852
9/28,-1.6374299206152916,13010,0.0002558629590911,0.955408868221943
29/10,1.5360529002402097,12996,0.0002555876261604,0.9556644558481034
28/9,1.6374299206152916,12787,0.0002514772988392,0.9559159331469427
21/19,0.1443899093351749,12776,0.0002512609658222,0.9561671941127649
19/21,-0.1443899093351748,12516,0.000246147639968,0.9564133417527328
17/19,-0.1604646721932461,12308,0.0002420569792846,0.9566553987320174
19/17,0.1604646721932461,12216,0.0002402476485977,0.9568956463806151
11/28,-1.3479233034203069,12137,0.0002386939842035,0.9571343403648186
28/11,1.3479233034203069,12049,0.0002369633200683,0.9573713036848869
16/21,-0.3923174227787603,11900,0.000234032991021,0.9576053366759079
21/16,0.3923174227787603,11880,0.000233639658263,0.9578389763341708
17/21,-0.3048545815284209,11734,0.0002307683291295,0.9580697446633003
21/20,0.070389327891398,11646,0.0002290376649942,0.9582987823282945
4/33,-3.0443941193584534,11635,0.0002288213319773,0.9585276036602718
21/17,0.3048545815284209,11471,0.0002255960033615,0.9587531996636333
33/4,3.0443941193584534,11423,0.0002246520047423,0.9589778516683756
20/21,-0.070389327891398,11414,0.0002244750050012,0.9592023266733768
19/18,0.0780025120012731,11230,0.0002208563436274,0.9594231830170042
24/13,0.8845227825800641,11186,0.0002199910115598,0.959643174028564
23/13,0.8231222379159208,11138,0.0002190470129405,0.9598622210415045
18/19,-0.0780025120012732,11133,0.000218948679751,0.9600811697212556
13/24,-0.8845227825800641,11111,0.0002185160137172,0.9602996857349728
35/6,2.5443205162238103,11103,0.000218358680614,0.9605180444155869
6/35,-2.5443205162238107,11085,0.0002180046811318,0.9607360490967186
13/23,-0.8231222379159209,11047,0.0002172573488915,0.9609533064456102
32/7,2.192645077942396,10980,0.0002159396841522,0.9611692461297624
7/32,-2.1926450779423963,10971,0.0002157626844111,0.9613850088141735
27/13,1.0544477840223765,10966,0.0002156643512216,0.9616006731653951
17/22,-0.3719687773869579,10912,0.0002146023527749,0.96181527551817
13/27,-1.0544477840223765,10865,0.0002136780207936,0.9620289535389637
22/17,0.3719687773869579,10844,0.0002132650213976,0.9622422185603613
3/34,-3.502500340529183,10777,0.0002119473566583,0.9624541659170196
34/3,3.502500340529183,10744,0.0002112983576076,0.9626654642746272
17/25,-0.5563933485243853,10546,0.0002074043633032,0.9628728686379304
25/17,0.5563933485243854,10478,0.0002060670319259,0.9630789356698564
11/30,-1.4474589769712212,10434,0.0002052016998583,0.9632841373697146
